idx,t_event,Frag_before,Frag_after,cluster_before,cluster_after,mean_distance_before,mean_distance_after
624,375000.0,0,1,2,3,6209.28477419965,6431.661219456649
628,377400.0,0,1,2,3,6625.583601906466,6885.712894255046
758,455400.0,0,1,2,3,5871.401430397622,5107.032878061758
1059,636000.0,0,1,2,3,4506.505339646783,4904.302252055235
1229,738000.0,0,1,2,3,3913.695613732987,3923.685752022881
1341,805200.0,0,1,2,3,4797.097242296808,5642.136073146232
1355,813600.0,0,1,2,3,6362.3482869682675,6301.161723810611
3080,1848600.0,0,1,2,3,196511.94630971944,197868.2318593828
