t_start,t_end,n_ids_present,mean_distance,cluster_count,triad_count_total,triad_count_sig,triad_S_sum,triad_S_mean,triad_S_sig_sum,TriadState,FragState
49200.0,51000.0,8,5069.82917906721,2,0,0,,,,0,0
49800.0,51600.0,8,5070.436609325888,2,0,0,,,,0,0
50400.0,52200.0,8,5071.181219645948,2,0,0,,,,0,0
51000.0,52800.0,8,5061.9991396952,2,0,0,,,,0,0
51600.0,53400.0,8,5071.082586242776,2,0,0,,,,0,0
52200.0,54000.0,8,5118.72145162062,2,0,0,,,,0,0
52800.0,54600.0,8,5163.169865993676,2,0,0,,,,0,0
53400.0,55200.0,8,5171.114234631054,2,0,0,,,,0,0
54000.0,55800.0,8,5147.619950441679,2,0,0,,,,0,0
54600.0,56400.0,8,5123.577765136392,2,0,0,,,,0,0
55200.0,57000.0,8,5108.761080732164,2,0,0,,,,0,0
55800.0,57600.0,8,5100.806318367839,2,0,0,,,,0,0
56400.0,58200.0,8,4929.071753365132,2,0,0,,,,0,0
57000.0,58800.0,8,4817.964979921207,2,0,0,,,,0,0
57600.0,59400.0,8,4776.3028719430395,2,0,0,,,,0,0
58200.0,60000.0,8,4894.371450050419,2,0,0,,,,0,0
58800.0,60600.0,8,4909.618874163631,2,0,0,,,,0,0
59400.0,61200.0,8,4925.386209920803,2,0,0,,,,0,0
60000.0,61800.0,8,4945.183092779497,2,0,0,,,,0,0
60600.0,62400.0,8,4967.152303703033,2,0,0,,,,0,0
61200.0,63000.0,8,4979.860400439798,2,0,0,,,,0,0
61800.0,63600.0,8,4979.229467573442,2,0,0,,,,0,0
62400.0,64200.0,8,4978.770942437269,2,0,0,,,,0,0
63000.0,64800.0,8,4977.693123510033,2,0,0,,,,0,0
63600.0,65400.0,8,4977.913312092852,2,0,0,,,,0,0
64200.0,66000.0,8,4978.304523759684,2,0,0,,,,0,0
64800.0,66600.0,8,4980.196643151723,2,0,0,,,,0,0
65400.0,67200.0,8,4980.439600353258,2,0,0,,,,0,0
66000.0,67800.0,8,4980.288160866751,2,0,0,,,,0,0
66600.0,68400.0,8,4980.092767398374,2,0,0,,,,0,0
67200.0,69000.0,8,4980.2259224070285,2,0,0,,,,0,0
67800.0,69600.0,8,4980.46753510459,2,0,0,,,,0,0
68400.0,70200.0,8,4980.485469020342,2,0,0,,,,0,0
69000.0,70800.0,8,4980.437486802591,2,0,0,,,,0,0
69600.0,71400.0,8,4980.39020684821,2,0,0,,,,0,0
70200.0,72000.0,8,4980.343633732358,2,0,0,,,,0,0
70800.0,72600.0,8,4980.297771950191,2,0,0,,,,0,0
71400.0,73200.0,8,4980.25262594415,2,0,0,,,,0,0
72000.0,73800.0,8,4980.208200130046,2,0,0,,,,0,0
72600.0,74400.0,8,4980.164498921384,2,0,0,,,,0,0
73200.0,75000.0,8,4980.121526751064,2,0,0,,,,0,0
73800.0,75600.0,8,4980.079288089567,2,0,0,,,,0,0
74400.0,76200.0,8,4980.037787459059,2,0,0,,,,0,0
75000.0,76800.0,8,4979.997029442473,2,0,0,,,,0,0
75600.0,77400.0,8,4979.957018687062,2,0,0,,,,0,0
76200.0,78000.0,8,4979.91775990177,2,0,0,,,,0,0
76800.0,78600.0,8,4979.879257847818,2,0,0,,,,0,0
77400.0,79200.0,8,4979.841517322304,2,0,0,,,,0,0
78000.0,79800.0,8,4979.804543134327,2,0,0,,,,0,0
78600.0,80400.0,8,4979.768340073949,2,0,0,,,,0,0
79200.0,81000.0,8,4979.7329128738465,2,0,0,,,,0,0
79800.0,81600.0,8,4979.69826616434,2,0,0,,,,0,0
80400.0,82200.0,8,4979.664404422262,2,0,0,,,,0,0
81000.0,82800.0,8,4979.631331915091,2,0,0,,,,0,0
81600.0,83400.0,8,4979.599052641105,2,0,0,,,,0,0
82200.0,84000.0,8,4979.567570267708,2,0,0,,,,0,0
82800.0,84600.0,8,4979.53688806931,2,0,0,,,,0,0
83400.0,85200.0,8,4979.507008866881,2,0,0,,,,0,0
84000.0,85800.0,8,4979.4779349714945,2,0,0,,,,0,0
84600.0,86400.0,8,4979.4496681334795,2,0,0,,,,0,0
85200.0,87000.0,8,4979.460794672416,2,0,0,,,,0,0
85800.0,87600.0,8,4979.729911040166,2,0,0,,,,0,0
86400.0,88200.0,8,4979.702113802699,2,0,0,,,,0,0
87000.0,88800.0,8,4979.706316291187,2,0,0,,,,0,0
87600.0,89400.0,8,4979.858039914053,2,0,0,,,,0,0
88200.0,90000.0,8,4979.935794198254,2,0,0,,,,0,0
88800.0,90600.0,8,4979.86681255728,2,0,0,,,,0,0
89400.0,91200.0,8,4979.63481492295,2,0,0,,,,0,0
90000.0,91800.0,8,4979.664504741427,2,0,0,,,,0,0
90600.0,92400.0,8,4973.777194114925,2,0,0,,,,0,0
91200.0,93000.0,8,4845.822583316663,2,0,0,,,,0,0
91800.0,93600.0,8,4751.241198507394,2,0,0,,,,0,0
92400.0,94200.0,8,4744.40971808801,2,0,0,,,,0,0
93000.0,94800.0,8,4881.4699238147905,2,0,0,,,,0,0
93600.0,95400.0,8,5014.707893940291,2,0,0,,,,0,0
94200.0,96000.0,8,5081.5694709057325,2,0,0,,,,0,0
